ident8;begin.opschrift;begin.afstand;eind.opschrift;eind.afstand;gebied
A0017781;0;0;0;594;Agentschap Wegen en Verkeer - AWV123
A0017782;0;0;0;594;Agentschap Wegen en Verkeer - AWV123
A0017791;0;-4;0;1193;Agentschap Wegen en Verkeer - AWV123
A0017792;0;-4;0;1193;Agentschap Wegen en Verkeer - AWV123
A0017801;0;0;0;762;Agentschap Wegen en Verkeer - AWV123
A0017802;0;0;0;762;Agentschap Wegen en Verkeer - AWV123
A0017811;0;-5;0;6;Agentschap Wegen en Verkeer - AWV123
A0017811;0;6;0;201;Agentschap Wegen en Verkeer - AWV123
A0017811;0;201;0;202;Agentschap Wegen en Verkeer - AWV123
A0017812;0;-5;0;6;Agentschap Wegen en Verkeer - AWV123
A0017812;0;6;0;201;Agentschap Wegen en Verkeer - AWV123
A0017812;0;201;0;202;Agentschap Wegen en Verkeer - AWV123
A0017821;0;0;0;62;Agentschap Wegen en Verkeer - AWV123
A0017822;0;0;0;62;Agentschap Wegen en Verkeer - AWV123
A0019011;0.1;0;0.1;797;Agentschap Wegen en Verkeer - AWV212
A0019012;0;0;0;826;Agentschap Wegen en Verkeer - AWV212
A0019401;0.4;-27;0.4;376;Agentschap Wegen en Verkeer - AWV212
A0019401;4.8;19108;4.8;19629;Agentschap Wegen en Verkeer - AWV121
A0019401;71.1;-12;72.5;94;Agentschap Wegen en Verkeer - AWV123
A0019402;0.4;-28;0.4;375;Agentschap Wegen en Verkeer - AWV212
A0019402;4.8;19108;4.8;19629;Agentschap Wegen en Verkeer - AWV121
A0019402;71.1;-12;72.5;94;Agentschap Wegen en Verkeer - AWV123
A0019411;0;0;0;388;Agentschap Wegen en Verkeer - AWV212
A0019411;24;-39;24.5;0;Agentschap Wegen en Verkeer - AWV121
A0019411;71.7;0;72.2;-37;Agentschap Wegen en Verkeer - AWV123
A0019412;0;0;0;388;Agentschap Wegen en Verkeer - AWV212
A0019412;24;-39;24.5;0;Agentschap Wegen en Verkeer - AWV121
